pl_name,hostname,galactic_latitude,galactic_longitude,distance,visual_mag
HAT-P-30 b,HAT-P-30,21.40542,217.41185,213.985,10.352
HAT-P-31 b,HAT-P-31,21.06338,52.72026,344.05,11.667
HAT-P-32 b,HAT-P-32,-14.37306,135.69851,289.205,11.439
HAT-P-33 b,HAT-P-33,22.73004,185.30741,396.11,11.032
HAT-P-34 b,HAT-P-34,-8.75906,58.54106,249.325,10.403
HAT-P-35 b,HAT-P-35,20.30811,218.07385,506.965,12.389
HAT-P-36 b,HAT-P-36,71.83707,133.41389,294.419,12.146
HAT-P-37 b,HAT-P-37,19.98353,81.20831,390.594,13.427
HAT-P-38 b,HAT-P-38,-26.87267,144.22935,255.206,12.525
HAT-P-39 b,HAT-P-39,17.44627,201.4173,697.004,12.282
HAT-P-4 b,HAT-P-4,57.3363,58.47975,320.451,11.118
HAT-P-40 b,HAT-P-40,-9.86299,97.34365,464.469,11.34
HAT-P-41 b,HAT-P-41,-10.62609,43.84092,348.185,11.365
HAT-P-42 b,HAT-P-42,31.58211,223.004,405.238,12.125
HAT-P-43 b,HAT-P-43,27.75424,215.48946,528.825,13.279
HAT-P-44 b,HAT-P-44,64.52011,89.60271,347.85,13.225
HAT-P-44 c,HAT-P-44,64.52011,89.60271,347.85,13.225
HAT-P-45 b,HAT-P-45,5.98199,26.02156,298.64,12.783
HAT-P-46 b,HAT-P-46,9.63976,24.53129,290.736,11.997
HAT-P-49 b,HAT-P-49,-5.76833,66.92249,350.351,10.205
HAT-P-5 b,HAT-P-5,22.14911,63.93673,303.336,11.954
HAT-P-50 b,HAT-P-50,18.9095,208.67365,515.458,11.703
HAT-P-51 b,HAT-P-51,-29.55538,130.85829,440.089,13.51
HAT-P-52 b,HAT-P-52,-26.98024,152.17845,361.155,14.107
HAT-P-53 b,HAT-P-53,-23.36944,130.55561,666.802,13.78
HAT-P-54 b,HAT-P-54,8.89777,188.78409,143.651,13.398
HAT-P-55 b,HAT-P-55,26.9685,49.58846,511.388,13.197
HAT-P-56 b,HAT-P-56,10.42964,187.53757,320.639,10.92
HAT-P-57 b,HAT-P-57,11.96776,38.82228,279.86,10.639
HAT-P-58 b,HAT-P-58,6.3006,150.04883,515.59,12.925
HAT-P-59 b,HAT-P-59,19.63991,94.0548,265.471,11.64
HAT-P-6 b,HAT-P-6,-18.43512,108.96346,275.358,10.469
HAT-P-60 b,HAT-P-60,-9.67032,132.48097,233.22,9.727
HAT-P-61 b,HAT-P-61,5.02601,157.78135,338.84,13.096
HAT-P-62 b,HAT-P-62,3.39851,158.83659,348.815,12.539
HAT-P-63 b,HAT-P-63,14.43563,32.04857,403.458,13.657
HAT-P-64 b,HAT-P-64,-28.45082,193.55233,651.897,12.855
HAT-P-65 b,HAT-P-65,-22.3345,60.50165,738.519,13.121
HAT-P-66 b,HAT-P-66,49.12363,160.16347,935.456,13.014
HAT-P-67 b,HAT-P-67,36.91147,70.15807,371.686,10.106
HAT-P-68 b,HAT-P-68,23.83401,197.14414,202.152,13.802
HAT-P-69 b,HAT-P-69,26.20647,222.78554,341.263,9.774
HAT-P-7 b,HAT-P-7,13.97537,80.03294,341.079,10.481
HAT-P-70 b,HAT-P-70,-19.66114,189.96459,330.739,9.47
HAT-P-8 b,HAT-P-8,-21.38256,97.14496,211.553,10.358
HAT-P-9 b,HAT-P-9,21.4426,181.08665,455.203,12.344
HATS-1 b,HATS-1,36.8124,282.95386,283.971,12.155
HATS-10 b,HATS-10,-19.62467,17.37913,534.889,13.202
HATS-11 b,HATS-11,-15.5115,15.35571,944.603,14.06
HATS-12 b,HATS-12,-14.11663,18.14948,746.138,12.831
